iter	Passed	Remaining
0	552	552399
1	774	386576
2	983	326965
3	1257	313040
4	1468	292310
5	1808	299616
6	2024	287169
7	2240	277760
8	2642	290950
9	3301	326845
10	3885	349312
11	4096	337319
12	4414	335177
13	4665	328576
14	4953	325302
15	5257	323330
16	5382	311215
17	5575	304182
18	5743	296559
19	5918	289996
20	6077	283349
21	6294	279813
22	6514	276731
23	6770	275344
24	7087	276429
25	7344	275152
26	7486	269806
27	7618	264462
28	7793	260932
29	8038	259911
30	8169	255362
31	8346	252468
32	8618	252545
33	8953	254396
34	9208	253881
35	9493	254217
36	9720	252985
37	10077	255125
38	10317	254229
39	10621	254918
40	10773	252003
41	10928	249264
42	11082	246652
43	11232	244052
44	11491	243875
45	11667	241974
46	11740	238048
47	12045	238901
48	12198	236747
49	12463	236806
50	12685	236045
51	12977	236592
52	13412	239656
53	13660	239315
54	13808	237247
55	13928	234793
56	14030	232113
57	14180	230307
58	14288	227894
59	14414	225828
60	14569	224279
61	14634	221406
62	14739	219216
63	14889	217763
64	15061	216650
65	15216	215337
66	15361	213921
67	15517	212675
68	15664	211357
69	15807	210020
70	15856	207471
71	15979	205959
72	16150	205083
73	16327	204313
74	16491	203391
75	16625	202127
76	16785	201202
77	16828	198923
78	17012	198338
79	17139	197099
80	17173	194840
81	17307	193755
82	17482	193154
83	18009	196392
84	18145	195333
85	18265	194123
86	18307	192122
87	18423	190930
88	18534	189719
89	18670	188784
90	18791	187713
91	18937	186905
92	19157	186841
93	19325	186263
94	19688	187562
95	20115	189416
96	20469	190558
97	20617	189769
98	20898	190195
99	21162	190463
100	21403	190514
101	21574	189940
102	21774	189628
103	22094	190356
104	22325	190299
105	22522	189955
106	23025	192167
107	23246	192001
108	23660	193408
109	24332	196870
110	24662	197525
111	24745	196195
112	24885	195341
113	25030	194534
114	25165	193666
115	25255	192462
116	25308	191006
117	25443	190175
118	25470	188567
119	25600	187737
120	25665	186446
121	25697	184938
122	25807	184007
123	25881	182836
124	25987	181914
125	26039	180621
126	26133	179642
127	26261	178904
128	26386	178159
129	26486	177253
130	26590	176387
131	26691	175519
132	26818	174821
133	26932	174058
134	27045	173292
135	27142	172434
136	27249	171652
137	27351	170844
138	27456	170074
139	27543	169197
140	27634	168357
141	27684	167278
142	27779	166485
143	27879	165728
144	27975	164961
145	28080	164249
146	28134	163258
147	28227	162501
148	28324	161775
149	28397	160920
150	28492	160201
151	28591	159512
152	28685	158802
153	28759	157989
154	28847	157267
155	28937	156557
156	29029	155870
157	29126	155220
158	29183	154360
159	29283	153739
160	29368	153044
161	29463	152409
162	29563	151808
163	29653	151160
164	29743	150522
165	29834	149889
166	29924	149263
167	30015	148648
168	30102	148020
169	30213	147514
170	30310	146941
171	30405	146368
172	30514	145867
173	30612	145319
174	30714	144795
175	30773	144074
176	30877	143571
177	30973	143036
178	31068	142500
179	31168	141991
180	31264	141468
181	31353	140919
182	31449	140404
183	31556	139947
184	31646	139417
185	31741	138911
186	31836	138410
187	31940	137957
188	32062	137581
189	32166	137129
190	32256	136627
191	32342	136109
192	32440	135643
193	32526	135137
194	32623	134676
195	32738	134295
196	32835	133840
197	32929	133380
198	33015	132889
199	33113	132454
200	33193	131948
201	33343	131724
202	33457	131357
203	33587	131056
204	33699	130688
205	33855	130490
206	33966	130121
207	34082	129774
208	34218	129506
209	34342	129192
210	34462	128866
211	34573	128507
212	34674	128115
213	34769	127704
214	34891	127394
215	35187	127719
216	35628	128558
217	35740	128206
218	35834	127793
219	35935	127407
220	36018	126962
221	36114	126564
222	36198	126125
223	36298	125749
224	36384	125324
225	36472	124910
226	36557	124490
227	36650	124096
228	36781	123837
229	36868	123430
230	36949	123004
231	37023	122561
232	37117	122185
233	37200	121777
234	37276	121345
235	37355	120929
236	37454	120581
237	37535	120177
238	37616	119773
239	37696	119371
240	37768	118946
241	37842	118531
242	37908	118092
243	37982	117682
244	38048	117250
245	38119	116836
246	38192	116434
247	38272	116050
248	38349	115664
249	38427	115282
250	38508	114911
251	38592	114553
252	38670	114178
253	38752	113817
254	38830	113444
255	38910	113082
256	38987	112713
257	39063	112345
258	39137	111972
259	39213	111608
260	39282	111224
261	39352	110846
262	39433	110502
263	39515	110164
264	39592	109814
265	39676	109484
266	39753	109135
267	39833	108799
268	39909	108453
269	39988	108117
270	40068	107785
271	40144	107444
272	40219	107104
273	40290	106755
274	40358	106398
275	40428	106051
276	40504	105720
277	40574	105377
278	40665	105089
279	40742	104767
280	40827	104465
281	40906	104152
282	40983	103835
283	41063	103526
284	41137	103204
285	41217	102899
286	41314	102637
287	41397	102343
288	41486	102066
289	41597	101841
290	41685	101563
291	41800	101351
292	41888	101075
293	41991	100837
294	42094	100598
295	42226	100430
296	42338	100214
297	42444	99987
298	42547	99752
299	42645	99506
300	42745	99266
301	42857	99055
302	42979	98865
303	43111	98703
304	43235	98521
305	43448	98540
306	43649	98531
307	43759	98317
308	43869	98102
309	43976	97882
310	44080	97658
311	44219	97509
312	44452	97569
313	44671	97593
314	44946	97740
315	45060	97535
316	45169	97320
317	45275	97099
318	45382	96882
319	45493	96673
320	45600	96457
321	45729	96287
322	45846	96093
323	45959	95890
324	46072	95688
325	46183	95482
326	46295	95280
327	46400	95064
328	46502	94841
329	46605	94623
330	46717	94422
331	46826	94216
332	46948	94037
333	47058	93835
334	47175	93646
335	47284	93442
336	47395	93243
337	47495	93024
338	47598	92810
339	47702	92598
340	47807	92390
341	47938	92232
342	48118	92168
343	48257	92026
344	48400	91890
345	48514	91700
346	48668	91586
347	48829	91486
348	48965	91336
349	49082	91153
350	49222	91012
351	49378	90900
352	49502	90732
353	49618	90547
354	49731	90357
355	49839	90159
356	49945	89957
357	50046	89748
358	50160	89563
359	50261	89354
360	50367	89153
361	50488	88981
362	50586	88770
363	50705	88595
364	50841	88450
365	50960	88275
366	51079	88102
367	51185	87904
368	51263	87661
369	51351	87436
370	51443	87218
371	51538	87006
372	51642	86809
373	51744	86609
374	51869	86449
375	51968	86245
376	52061	86032
377	52162	85834
378	52258	85627
379	52381	85464
380	52470	85247
381	52574	85054
382	52676	84860
383	52789	84682
384	52883	84475
385	52979	84273
386	53072	84066
387	53167	83862
388	53258	83653
389	53351	83446
390	53442	83239
391	53547	83052
392	53643	82854
393	53739	82654
394	53824	82439
395	53933	82261
396	54024	82057
397	54116	81854
398	54207	81651
399	54301	81452
400	54397	81257
401	54501	81074
402	54596	80878
403	54692	80684
404	54789	80493
405	54885	80301
406	54978	80103
407	55072	79909
408	55167	79716
409	55278	79546
410	55376	79358
411	55468	79164
412	55578	78994
413	55676	78807
414	55813	78676
415	56034	78663
416	56247	78638
417	56440	78585
418	56560	78429
419	56670	78259
420	56767	78071
421	56880	77907
422	56982	77727
423	57089	77554
424	57186	77369
425	57279	77178
426	57377	76996
427	57491	76835
428	57587	76649
429	57683	76463
430	57778	76278
431	57871	76089
432	57964	75902
433	58055	75712
434	58153	75532
435	58245	75345
436	58348	75171
437	58443	74989
438	58541	74810
439	58650	74645
440	58744	74463
441	58843	74286
442	58944	74112
443	59040	73933
444	59145	73765
445	59241	73586
446	59341	73414
447	59441	73240
448	59535	73059
449	59632	72884
450	59765	72752
451	59860	72574
452	59964	72407
453	60058	72229
454	60150	72048
455	60245	71871
456	60340	71696
457	60430	71513
458	60525	71338
459	60623	71166
460	60714	70987
461	60806	70809
462	60912	70648
463	61011	70479
464	61102	70300
465	61184	70112
466	61273	69932
467	61358	69749
468	61439	69562
469	61524	69378
470	61605	69192
471	61687	69006
472	61766	68818
473	61853	68638
474	61935	68454
475	62020	68274
476	62129	68120
477	62224	67952
478	62308	67771
479	62392	67591
480	62472	67407
481	62576	67250
482	62656	67067
483	62733	66880
484	62810	66695
485	62895	66519
486	62979	66341
487	63054	66155
488	63130	65970
489	63218	65798
490	63300	65621
491	63378	65439
492	63454	65256
493	63530	65074
494	63607	64892
495	63684	64711
496	63774	64544
497	63937	64451
498	64028	64284
499	64109	64109
500	64184	63928
501	64265	63753
502	64349	63581
503	64431	63408
504	64515	63238
505	64591	63059
506	64671	62885
507	64748	62708
508	64829	62537
509	64907	62362
510	64985	62187
511	65062	62012
512	65140	61839
513	65217	61664
514	65287	61484
515	65354	61301
516	65435	61131
517	65530	60975
518	65737	60924
519	65904	60835
520	66029	60706
521	66115	60542
522	66200	60377
523	66276	60205
524	66374	60052
525	66454	59884
526	66536	59718
527	66619	59553
528	66705	59391
529	66785	59224
530	66866	59059
531	66949	58894
532	67033	58732
533	67110	58564
534	67188	58397
535	67263	58228
536	67342	58062
537	67419	57895
538	67498	57730
539	67580	57568
540	67666	57409
541	67755	57254
542	67836	57092
543	67910	56924
544	67992	56764
545	68071	56601
546	68147	56436
547	68221	56270
548	68296	56104
549	68367	55937
550	68448	55777
551	68525	55615
552	68600	55451
553	68679	55290
554	68764	55135
555	68852	54982
556	68959	54845
557	69058	54702
558	69144	54548
559	69222	54389
560	69302	54231
561	69385	54076
562	69467	53920
563	69543	53760
564	69620	53601
565	69695	53441
566	69776	53285
567	69852	53127
568	69934	52973
569	70015	52818
570	70105	52670
571	70181	52513
572	70258	52356
573	70337	52201
574	70416	52047
575	70499	51895
576	70570	51735
577	70641	51575
578	70710	51414
579	70785	51258
580	70870	51109
581	70952	50959
582	71029	50805
583	71106	50651
584	71187	50500
585	71283	50360
586	71364	50210
587	71445	50060
588	71521	49907
589	71598	49754
590	71674	49601
591	71757	49454
592	71831	49300
593	71908	49149
594	71985	48998
595	72067	48851
596	72150	48704
597	72233	48558
598	72316	48411
599	72405	48270
600	72482	48120
601	72561	47972
602	72634	47820
603	72712	47672
604	72797	47528
605	72869	47377
606	72944	47227
607	73017	47076
608	73099	46932
609	73175	46784
610	73253	46637
611	73325	46487
612	73414	46348
613	73495	46203
614	73586	46066
615	73661	45919
616	73738	45772
617	73825	45633
618	74006	45551
619	74240	45502
620	74362	45383
621	74446	45242
622	74528	45099
623	74614	44959
624	74704	44822
625	74785	44680
626	74868	44538
627	74957	44401
628	75041	44261
629	75116	44116
630	75200	43976
631	75287	43838
632	75376	43701
633	75450	43556
634	75532	43416
635	75617	43277
636	75704	43140
637	75792	43004
638	75886	42871
639	75961	42728
640	76036	42585
641	76119	42446
642	76205	42309
643	76281	42168
644	76376	42036
645	76451	41894
646	76538	41759
647	76622	41621
648	76701	41482
649	76774	41340
650	76855	41202
651	76937	41064
652	77025	40930
653	77102	40791
654	77178	40651
655	77258	40513
656	77338	40376
657	77430	40245
658	77569	40138
659	77719	40037
660	77804	39902
661	77885	39766
662	77970	39631
663	78069	39505
664	78173	39380
665	78255	39245
666	78341	39112
667	78421	38976
668	78514	38846
669	78605	38715
670	78692	38584
671	78769	38446
672	78848	38311
673	78925	38174
674	79004	38039
675	79086	37905
676	79177	37776
677	79274	37649
678	79357	37516
679	79449	37388
680	79533	37255
681	79615	37122
682	79705	36993
683	79787	36860
684	79867	36727
685	79952	36596
